open_time,ticket,symbol,type,open_price,profit,stop_loss,take_profit,close_time,close_price,commission,swap,profit_total
2025.05.01 9:54:01,731902742,XAUUSD,buy,0.01,3.221.220,3.223.370,3.232.094,2025.05.01 10:45:18,3.223.370,0.00,0.00,35 666.12
2025.05.01 9:55:00,731908987,XAUUSD,buy,0.01,3.220.782,3.223.411,3.232.094,2025.05.01 10:45:18,3.223.411,0.00,0.00,43 628.79
2025.05.01 10:10:00,732017739,XAUUSD,buy,0.01,3.217.907,3.223.306,3.232.094,2025.05.01 10:45:18,3.223.306,0.00,0.00,89 580.03
2025.05.01 10:11:00,732023984,XAUUSD,buy,0.01,3.216.743,3.217.316,3.232.094,2025.05.01 10:29:14,3.217.316,0.00,0.00,9 624.94
2025.05.01 10:12:00,732028770,XAUUSD,buy,0.01,3.216.677,3.217.316,3.232.094,2025.05.01 10:29:14,3.217.316,0.00,0.00,10 620.63
2025.05.02 2:23:57,736027455,XAUUSD,sell,0.01,3.246.012,3.245.552,3.235.678,2025.05.02 2:38:45,3.245.552,0.00,0.00,7 607.91
2025.05.02 2:25:00,736029955,XAUUSD,sell,0.01,3.246.575,3.245.552,3.235.678,2025.05.02 2:38:45,3.245.552,0.00,0.00,17 035.11
2025.05.02 7:35:00,737226806,XAUUSD,sell,0.02,3.261.860,3.260.833,3.250.611,2025.05.02 7:47:20,3.260.833,0.00,0.00,33 679.55
2025.05.02 7:40:00,737251912,XAUUSD,sell,0.02,3.260.734,3.260.819,3.250.611,2025.05.02 7:47:20,3.260.819,0.00,0.00,-2 795.32
2025.05.05 1:10:00,744213608,XAUUSD,sell,0.02,3.255.772,3.265.565,3.245.453,2025.05.05 1:26:01,3.265.565,0.00,0.00,-322 676.86
2025.05.05 1:15:00,744236395,XAUUSD,sell,0.02,3.258.741,3.258.683,3.245.453,2025.05.05 1:18:21,3.258.683,0.00,0.00,1 810.33
2025.05.05 1:20:00,744264156,XAUUSD,sell,0.02,3.261.306,3.265.565,3.245.453,2025.05.05 1:26:01,3.265.565,0.00,0.00,-140 337.26
2025.05.05 1:25:00,744295493,XAUUSD,sell,0.02,3.264.319,3.265.565,3.245.453,2025.05.05 1:26:02,3.265.565,0.00,0.00,-41 014.06
2025.05.05 1:30:00,744318665,XAUUSD,sell,0.02,3.265.262,3.265.565,3.245.453,2025.05.05 1:30:01,3.266.081,0.00,0.00,-26 884.89
2025.05.05 1:40:00,744389606,XAUUSD,sell,0.02,3.266.228,3.265.060,3.250.627,2025.05.05 1:44:00,3.265.060,0.00,0.00,38 313.00
2025.05.05 1:45:00,744414547,XAUUSD,sell,0.02,3.263.831,3.270.739,3.250.627,2025.05.05 2:04:30,3.270.739,0.00,0.00,-226 814.25
2025.05.05 1:50:00,744433649,XAUUSD,sell,0.02,3.263.483,3.270.964,3.250.852,2025.05.05 2:04:30,3.270.964,0.00,0.00,-245 523.96
2025.05.05 3:35:00,744920067,XAUUSD,buy,0.02,3.257.442,3.257.353,3.268.114,2025.05.05 4:25:31,3.257.353,0.00,0.00,-2 790.80
2025.05.05 3:40:00,744938554,XAUUSD,buy,0.02,3.256.962,3.257.353,3.268.114,2025.05.05 4:25:31,3.257.353,0.00,0.00,12 944.62
2025.05.05 3:45:00,744965085,XAUUSD,buy,0.02,3.255.463,3.256.074,3.267.075,2025.05.05 4:10:46,3.256.074,0.00,0.00,19 987.04
2025.05.05 3:50:00,744981585,XAUUSD,buy,0.02,3.256.022,3.256.074,3.267.060,2025.05.05 4:10:46,3.256.074,0.00,0.00,1 802.11
2025.05.05 3:55:00,744997373,XAUUSD,buy,0.02,3.256.121,3.256.074,3.267.013,2025.05.05 4:10:46,3.256.074,0.00,0.00,-1 478.98
2025.05.05 4:35:00,745146339,XAUUSD,buy,0.02,3.254.862,3.255.353,3.268.114,2025.05.05 4:45:12,3.255.353,0.00,0.00,16 233.69
2025.05.05 4:40:00,745163495,XAUUSD,buy,0.02,3.256.083,3.256.801,3.268.114,2025.05.05 4:58:11,3.256.801,0.00,0.00,23 451.49
2025.05.05 4:45:00,745180873,XAUUSD,buy,0.02,3.256.048,3.256.801,3.268.114,2025.05.05 4:58:11,3.256.801,0.00,0.00,24 599.47
2025.05.05 4:50:00,745200359,XAUUSD,buy,0.02,3.255.111,3.256.752,3.268.114,2025.05.05 4:58:13,3.256.752,0.00,0.00,53 790.84
2025.05.05 4:55:00,745219004,XAUUSD,buy,0.02,3.257.488,3.258.886,3.268.114,2025.05.05 5:12:26,3.258.886,0.00,0.00,45 744.63
2025.05.05 5:00:00,745237786,XAUUSD,buy,0.02,3.256.653,3.258.886,3.268.114,2025.05.05 5:12:26,3.258.886,0.00,0.00,73 125.82
2025.05.05 5:05:00,745252113,XAUUSD,buy,0.02,3.256.602,3.258.851,3.268.114,2025.05.05 5:12:26,3.258.851,0.00,0.00,73 781.66
2025.05.05 8:50:00,746443582,XAUUSD,sell,0.02,3.279.271,3.287.519,3.267.407,2025.05.05 9:04:36,3.287.519,0.00,0.00,-271 378.08
2025.05.05 8:55:00,746481921,XAUUSD,sell,0.02,3.281.631,3.287.519,3.267.407,2025.05.05 9:04:36,3.287.519,0.00,0.00,-193 747.50
2025.05.05 9:00:00,746507449,XAUUSD,sell,0.02,3.282.806,3.287.519,3.267.407,2025.05.05 9:04:36,3.287.519,0.00,0.00,-155 096.68
2025.05.05 9:10:00,746594091,XAUUSD,sell,0.02,3.286.127,3.291.019,3.270.907,2025.05.05 9:16:13,3.291.019,0.00,0.00,-160 973.41
2025.05.05 9:15:00,746622820,XAUUSD,sell,0.02,3.289.800,3.293.490,3.273.378,2025.05.05 9:17:24,3.293.490,0.00,0.00,-121 346.65
2025.05.05 9:20:00,746668303,XAUUSD,sell,0.02,3.293.289,3.294.460,3.274.348,2025.05.05 9:21:25,3.294.460,0.00,0.00,-38 475.24
2025.05.05 9:35:00,746792578,XAUUSD,sell,0.02,3.300.696,3.300.943,3.280.831,2025.05.05 9:35:01,3.301.251,0.00,0.00,-18 250.56
2025.05.05 9:40:00,746825709,XAUUSD,sell,0.02,3.301.273,3.302.887,3.282.775,2025.05.05 9:41:02,3.302.887,0.00,0.00,-52 924.41
2025.05.05 9:45:00,746857749,XAUUSD,sell,0.02,3.302.834,3.302.094,3.284.911,2025.05.05 9:51:05,3.302.094,0.00,0.00,24 310.66
2025.05.05 9:50:00,746885299,XAUUSD,sell,0.02,3.300.871,3.306.631,3.286.519,2025.05.05 9:58:32,3.306.631,0.00,0.00,-189 388.08
2025.05.05 9:55:00,746916090,XAUUSD,sell,0.02,3.303.671,3.309.683,3.289.571,2025.05.05 10:00:05,3.309.683,0.00,0.00,-197 750.91
2025.05.05 10:00:00,746965448,XAUUSD,sell,0.02,3.308.730,3.309.901,3.289.789,2025.05.05 10:00:05,3.309.901,0.00,0.00,-38 465.26
2025.05.05 10:10:00,747052817,XAUUSD,sell,0.02,3.310.012,3.316.535,3.296.423,2025.05.05 10:21:19,3.316.535,0.00,0.00,-214 566.69
2025.05.05 10:20:00,747123681,XAUUSD,sell,0.02,3.315.360,3.314.964,3.304.066,2025.05.05 10:36:56,3.314.964,0.00,0.00,12 978.22
2025.05.05 10:25:00,747165143,XAUUSD,sell,0.02,3.316.223,3.316.241,3.304.244,2025.05.05 10:26:10,3.316.401,0.00,0.00,-5 755.03
2025.05.05 10:30:00,747190137,XAUUSD,sell,0.02,3.314.393,3.314.330,3.304.247,2025.05.05 10:42:00,3.314.330,0.00,0.00,2 135.66
2025.05.06 2:05:00,751415011,XAUUSD,sell,0.02,3.377.622,3.377.504,3.359.472,2025.05.06 2:06:30,3.377.504,0.00,0.00,3 789.50
2025.05.06 2:25:00,751525720,XAUUSD,sell,0.02,3.381.071,3.380.419,3.365.840,2025.05.06 2:25:29,3.380.419,0.00,0.00,21 407.30
2025.05.06 2:45:00,751644631,XAUUSD,buy,0.02,3.367.139,3.362.405,3.382.517,2025.05.06 2:47:43,3.361.997,0.00,0.00,-169 701.50
2025.05.06 3:20:00,751858463,XAUUSD,buy,0.02,3.365.045,3.370.262,3.378.139,2025.05.06 3:21:57,3.370.262,0.00,0.00,171 825.16
2025.05.09 12:05:48,777933804,XAUUSD,sell,0.1,3.331.531,3.338.105,3.318.384,2025.05.09 13:29:36,3.338.105,0.00,0.00,-1 087 102.35
2025.05.09 14:11:00,778891321,XAUUSD,buy,0.01,3.321.644,3.321.717,3.332.036,2025.05.09 14:13:28,3.321.578,0.00,0.00,-991.94
2025.05.09 14:27:00,779072919,XAUUSD,sell,0.01,3.334.751,3.344.743,3.324.743,2025.05.09 15:38:04,3.344.743,0.00,0.00,-165 173.59
2025.05.09 14:28:00,779090434,XAUUSD,sell,0.01,3.337.720,3.336.807,3.324.743,2025.05.09 14:43:56,3.336.807,0.00,0.00,15 007.37
2025.05.09 14:28:05,779092327,XAUUSD,sell,0.01,3.338.249,3.336.800,3.324.743,2025.05.09 14:43:56,3.336.800,0.00,0.00,23 912.84
2025.05.09 14:30:00,779113801,XAUUSD,sell,0.01,3.337.945,3.336.807,3.324.743,2025.05.09 14:43:56,3.336.807,0.00,0.00,18 800.44
2025.05.09 14:35:00,779177125,XAUUSD,sell,0.01,3.336.781,3.344.743,3.324.743,2025.05.09 15:38:04,3.344.743,0.00,0.00,-131 609.79
2025.05.11 18:47:25,784305974,BTCUSD,sell,0.04,104593.81,,,2025.05.11 19:00:41,104531.78,0.00,0.00,40 995.33
2025.05.11 22:30:00,784569298,XAUUSD,buy,0.01,3.278.156,3.268.294,3.288.294,2025.05.11 22:45:19,3.268.294,0.00,0.00,-163 500.26
2025.05.11 23:30:00,784766141,XAUUSD,sell,0.01,3.285.522,3.281.180,3.274.672,2025.05.11 23:36:12,3.281.180,0.00,0.00,71 741.83
2025.05.26 16:26:37,884096406,XAUUSD,sell,0.1,3.340.557,3.341.669,3.338.669,2025.05.26 16:38:51,3.341.722,0.00,0.00,-189 724.40
